region_clean,cent_lat,cent_lon
mercurey premier cru,46.8308,4.7417
rasteau,44.19123000000001,4.845669999999999
cadillac cotes de bordeaux,44.63333,-0.26667000000000013
la londe,43.1372,6.23941
maranges la fussiere,46.88799999999999,4.6803
nuits saint georges aux cras,47.158505,4.766939
alsace,48.232880000000016,7.249900000000013
chassagne montrachet morgeot,46.9239,4.741
pommard,46.95130000000007,4.792700000000007
ladoix les joyeuses,48.066531,4.942612
mercurey les velley,46.83,4.74
mercurey les saumonts,46.8284,4.7469
arbois pupillin,46.883199999999995,5.755399999999999
les charmots,46.95100000000001,4.789000000000001
sancerre,47.31909999999999,2.8297599999999967
volnay,46.94370000000002,4.764999999999997
volnay clos de la bousse d or,46.9436,4.766
monthelie,46.9596,4.7723
santenay grand clos rousseau,46.911,4.6925
upper loire,47.5,2.0
monthelie premier cru,46.9592,4.772
listrac,45.08332999999999,-0.83333
nuits saint georges aux boudots,47.1546,4.9446
chambolle musigny les combottes,47.084102,4.710268
gevrey chambertin craipillot,47.199334,4.872912
cote de nuits,47.14999999999999,4.95
cotes du brian,43.2964,2.6858
beaune belissand,47.016,4.837
valencay,47.15,1.56667
aloxe corton les valozieres,47.0581,4.862
vosne romanee 1er cru au cros parantoux,47.0937,4.5716
vosne romanee les beaux monts,47.093700000000005,4.571600000000001
chambolle musigny les gruenchers,45.859582,3.458747
beaune les aigrots,47.01743,4.83923
beaujolais villages,46.099999999999994,4.700000000000001
corbieres boutenac,43.14921,2.7154300000000005
anjou villages brissac,47.16576,-0.33012
beaune les cent vignes,47.0216,4.842300000000001
gevrey chambertin lavaut st jacques,47.2302,4.9569
santenay,46.91429999999996,4.694299999999999
fitou,42.91666999999998,2.950000000000001
chassagne montrachet la maltroie,46.9244,4.7436
corton clos du roi,47.07350000000001,4.868699999999999
gevrey chambertin clos st jacques,47.053408,4.937027999999999
beaune pertuisots,47.014,4.836
muscat de beaumes de venice,44.1376,5.01814
rully preaux,46.87097,4.74876
chassagne montrachet chassagne du clos saint jean,46.9253,4.7438
rully cloux,46.8691,4.7695
aloxe corton la toppe au vert,47.0577,4.8614
savigny les beaune les lavieres,47.059,4.82496
cabards,43.316669999999995,2.31667
saint emilion,44.90000000000005,-0.1500000000000002
givry les bois chevaux,46.7931,4.7425
chambolle musigny,47.18499999999996,4.968099999999994
puisseguin saint emilion,44.55280000000001,0.04190000000000002
nuits saint georges clos des corvees,44.14640300000001,3.3238410000000007
southern rhone,44.300000000000004,4.799999999999999
morey saint denis aux charmes,47.196,4.9475
mercurey les combins,46.8273,4.7458
minervois la liviniere,43.20765000000004,2.70654
fixin le clos du chapitre,47.226453,4.847102
nuits saint georges aux perdrix,47.1342,4.9463
saint joseph,45.09011999999991,4.8076500000000015
auxey duresses,46.95499999999999,4.777
coteaux de narbonne,43.18333,3.0
beaujolais,46.09999999999998,4.699999999999999
cotes du rhone villages chusclan,44.1673,4.6376
les rugiens bas,46.9447,4.7713
les combes dessus,47.03079,4.737937
chassagne montrachet premier cru,46.925,4.744
gevrey chambertin estournelles st jacques,47.23,4.965
aloxe corton premier cru,47.05700000000001,4.863
vin de savoie,42.56627000000002,2.711860000000001
auxey duresses les ecusseaux,46.957,4.765
nuits saint georges les crots,47.1398,4.951
volnay les angles,46.9435,4.7653
hautes cotes de beaune,47.06431999999997,4.851229999999996
cotes du rhone,44.25,4.63333
volnay les brouillards,46.9453,4.765
saint amour,46.25432,4.636539999999998
morey saint denis clos des ormes,47.2045,4.9507
chassagne montrachet clos saint jean,46.925000000000004,4.7435
cotes du rhone villages laudun,44.20087,4.64321
givry cellier aux moines,46.7887,4.74327
givry clos jus,46.7941,4.7396
vosne romanee les gaudichots,47.09369999999999,4.5716
chateauneuf du pape,44.06190000000002,4.828330000000025
cotes de bourg,45.049999999999976,-0.6333300000000005
chinon,47.16667,0.23332999999999976
haute vallee de laude,42.98333000000001,2.26667
pernand vergelesses ile des vergelesses,47.0575,4.8625
nuits saint georges les chaboeufs,47.1405,4.9505
languedoc la clape,43.15000000000002,3.0999999999999983
